105,18.9,22,27,31.1,34.9,37,38,40,40,40,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
101.4,18.9,22,27,31.1,34.9,37,38,40,40,40,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
97.8,17,17,17,17,30,30,31,40,40,40,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
94.1,17,17,17,17,28,28,29,38,38,39,45,45,45,44,44,44,44,44,44,44,44,44,43,43,43
90.5,17,17,17,17,27,27,27,33.9,34.9,36,43,43,43,42,42,42,42,40.9,40.9,40.9,40.9,40.9,39.9,39.9,39.9
86.9,17,17,17,17,24,24,24,31.1,32.1,34.2,41.7,42.3,42.3,42.3,42.3,42,42,41.4,40.2,39.9,39.9,39.9,38.9,38.9,38.9
83.3,17,17,21,23.2,27,26,25,32,33.1,32.2,41.7,41.5,41.5,41.2,41,41,40.9,40.4,40.2,40.4,40.4,39.3,38.2,38.2,38.2
79.7,17,17,21,23.2,25,24,24,32.5,33.7,32.8,40.1,39.8,40.4,40.3,40.2,40.1,39.9,39.7,39.3,39.3,39.3,39.3,38.2,38.2,38.2
76,17,17,21,23.2,26,31.8,32.8,34,34,35.5,38.8,39.6,39.3,39.3,39.3,39.3,39.3,38.8,38.2,38.2,38.2,38.2,37,37,37
72.4,17,17,23,23,23,31.8,30.8,33.7,34.8,36.4,37.7,38.5,38.9,38.9,38.9,38.9,38.7,38.1,37.7,37,37,35.9,34.8,34.8,34.8
68.8,17,17,23,23,23,30.8,30.8,32.7,34.8,34.4,35.5,37.4,38.2,38.2,38.2,38.2,38.2,37.6,37.4,37,37,35.9,34.8,34.8,34.8
65.2,17,17,23,23,23,30.8,30.8,33.7,34.8,34.4,35.5,36.4,37,37,37,37,37,37,37,37,37,35.9,34.8,34.8,34.8
61.6,17,17,23,23,23,30.8,30.8,32.7,34.8,34.4,35.5,36.4,37,35.9,35.9,35.9,35.9,35.2,35.4,34.8,34.8,34.8,33.8,33.8,33.8
57.9,17,17,21,23.2,23.2,29,29,30.9,31.9,34.4,34.2,34.2,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,33.8,32.7,32.7,32.7
54.3,17,17,21,23.2,23.2,26.2,26.2,28.1,29.1,31.6,34,34.2,34.8,33.8,33.8,33.8,34.8,34.8,33.8,33.8,33.8,32.7,31.6,31.6,31.6
50.7,16,16,20,21.2,21.2,18.3,20.3,19.1,23.2,23.2,30.2,32,32,31,31,29,29,29,29,29,29,28,28,28,28
47.1,15,15,15,16.2,16.2,21.3,23.3,21.3,23.2,23.2,30.2,32,32,31,29,29,29,29,29,29,29,28,28,28,28
43.4,14,14,14,14,14,14,16.1,17.1,20.9,22,30,32,32,31,29,28,28,28,28,28,28,28,28,28,28
39.8,13,13,13,13,13,14,16.1,17.1,20.9,22,30,31,32,31,28,28,28,28,28,28,28,28,28,28,28
36.2,12,12,12,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
32.6,11,11,11,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
29,10,10,11,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
25.3,9,9,10,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
21.7,8,8,9,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
18.1,7,7,8,12,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
14.5,0,0,3,6.9,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
10.9,0,0,2,6.9,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
7.2,0,0,1,6.9,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
3.6,0,0,1,6.9,13,15,17.1,18.1,22,23,31,31,32,31,28,28,28,28,28,28,28,28,28,28,28
,400,600,800,1000,1200,1400,1600,1800,2000,2200,2400,2800,3200,3600,4000,4400,4800,5200,5600,6000,6400,6800,7200,7600,8000